rating,review
1,wrost app i ever see
1,"they did not delivered my product in 20 days and automatically cancelled my order at last, i waited alot, the disappointed me on my need of hour."
1,I hv ordered the beautiful you bag in November... retured it bcz there was no brand tag. delivery boy picked up return parcel nd not updated status till today... No return no refund... can anybody explain what to do still this process has not been ended by myntra team..
1,extremely cheap and bad material delivered against beautiful images on the application.
1,"order product and waited for almost 2 months, no resolution provided , utterly disappointed... flimsy app with fake products ... I would have actually 0 star the app but minimum 1 star is option provided by Google ... very late delivery service with no genuine products..."
1,Worst app👎🏻the orders are delaying and cancelled everytime.waste of money😑 *edited - see it's almost been a year i wrote a review on this app and still it's happening and I'm very disappointed by this app😤
1,It is not a good app. Flipkart and Amazon are far better than myntra 😡. I receive always a wrong product in myntra 😡. The customer care doesn't listen my complain.
2,"Love it....!! Best part is.. Quality of the products are same as shown n 
mentioned in the app...!! Better than other online shopping app....!! 
#thumbsup"
